California County,census_tract,hispanic,white,african_american,native_american,asian_american,other,unemployment,poverty,ces_pollution_score,ozone,pesticides,tox_release,asthma,cardiovascular_disease,low_birth_weight
Los Angeles,6037204820.0,97.9,0.8,0.0,0.3,0.9,0.1,6.1,50.7,68.47,0.046,0.0,20285.50989,68.74,10.4,5.71
Los Angeles,6037532302.0,95.8,2.5,0.7,0.3,0.5,0.3,14.2,60.2,68.3,0.046,0.0,75486.33394,61.9,10.9,4.51
San Diego,6073004900.0,90.4,3.4,4.7,0.1,0.7,0.7,14.6,72.6,68.27,0.038,0.0,606.4259480000002,127.1,9.63,5.61
Los Angeles,6037229420.0,87.4,0.3,11.4,0.1,0.1,0.6,10.9,71.3,68.25,0.046,0.0,4903.8568049999985,61.02,9.26,6.91
Stanislaus ,6099002200.0,67.5,18.3,4.2,0.7,7.5,1.9,19.5,76.4,68.22,0.053,0.0,615.9232707,92.45,15.11,5.84
San Diego,6073003902.0,88.7,2.9,6.3,0.2,1.1,0.6,20.7,76.6,67.79,0.038,0.0,4415.764498,127.1,9.63,4.96
Los Angeles,6037239701.0,76.8,0.7,21.5,0.1,0.3,0.7,13.2,79.2,67.77,0.046,0.0,4785.991331,95.56,13.17,8.41
San Joaquin,6077002300.0,78.7,3.3,6.9,0.3,9.1,1.7,18.0,74.9,67.75,0.046,1.06,845.7725383999997,128.15,14.74,5.59
Los Angeles,6037570301.0,64.5,7.1,17.7,0.2,8.9,1.6,14.8,52.6,67.72,0.042,4.42,6085.2449369999995,87.56,10.71,7.08
San Bernardino,6071012400.0,80.7,8.9,6.0,0.2,3.5,0.7,16.0,57.9,67.63,0.065,0.0,644.3547829,96.15,13.33,5.48
Los Angeles,6037128302.0,77.8,13.0,3.9,0.2,3.6,1.4,12.8,71.6,67.55,0.055,0.0,817.4485361000003,66.93,12.2,7.47
Los Angeles,6037242700.0,72.3,0.4,25.7,0.1,0.4,1.1,20.4,85.5,67.52,0.044000000000000004,0.0,5725.469925,88.01,10.5,7.7
Riverside ,6065031300.0,92.7,2.8,1.9,0.9,1.2,0.4,17.1,63.4,67.44,0.065,13.08,11168.958059999999,60.13,8.93,5.41
San Bernardino,6071007000.0,87.0,6.7,3.9,0.2,1.1,1.1,18.1,66.9,67.44,0.065,0.0,830.7216942000001,88.8,15.04,5.72
Los Angeles,6037533001.0,95.0,0.8,3.5,0.2,0.3,0.2,12.0,74.7,67.42,0.046,0.0,5709.953193,79.03,12.37,6.19
Los Angeles,6037121222.0,85.0,6.5,3.1,0.1,4.4,0.9,11.6,70.8,67.39,0.055,0.0,1022.925341,77.04,8.41,7.03
Los Angeles,6037532800.0,91.5,0.4,7.6,0.0,0.3,0.2,6.9,76.3,67.31,0.046,0.0,5361.16416,78.89,12.35,7.53
Los Angeles,6037239601.0,82.2,0.3,16.4,0.2,0.2,0.6,17.4,77.2,67.3,0.046,0.0,4678.640037,95.56,13.17,5.57
Los Angeles,6037575401.0,76.9,5.7,11.5,0.2,4.5,1.3,14.2,79.1,67.2,0.042,1.43,14453.794259999999,116.32,11.4,6.19
San Joaquin,6077002401.0,63.5,2.8,6.8,0.1,25.1,1.6,20.8,72.1,67.08,0.046,0.0,949.3612286,128.15,14.74,5.27
Los Angeles,6037534201.0,95.4,2.7,0.8,0.3,0.6,0.2,10.2,70.9,67.05,0.046,19.49,8988.652776,48.15,10.08,4.54
Los Angeles,6037122410.0,83.2,7.6,4.6,0.0,3.3,1.2,16.5,73.8,66.93,0.055,0.0,1121.260416,78.9,13.7,5.37
Los Angeles,6037239702.0,68.6,0.9,29.0,0.1,0.0,1.4,13.1,73.0,66.87,0.046,0.0,4876.021333,95.56,13.17,8.92
San Diego,6073003601.0,89.6,2.9,5.5,0.0,1.5,0.5,16.8,74.5,66.76,0.038,0.0,875.7058339,125.77,9.56,5.69
Los Angeles,6037228100.0,91.3,0.4,7.3,0.1,0.1,0.8,12.4,76.2,66.68,0.046,0.0,6132.236744,65.14,9.6,4.9
Los Angeles,6037292000.0,59.7,11.0,13.2,0.1,14.2,1.8,18.6,56.7,66.67,0.042,0.03,10548.6642,59.49,7.15,5.95
